caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_post,Count_Reliable_NewsG_Score_post,Count_Unreliable_NewsG_Score_post,Prop_Reliable_NewsG_Score_post,Prop_Unreliable_NewsG_Score_post,partisanship_news_diet_post,Prop_Reliable_NewsG_Score_post_dur,Prop_Unreliable_NewsG_Score_post_dur,Count_Unreliable_NewsG_Score_post_dur,Count_Reliable_NewsG_Score_post_dur,Average_domain_NewsG_Score_post_dur
1150929271,1,43,1708,3.7612001156935624,1161,7.057036981697891,1573,91.28787878787878,1.5314789170422551,0,0.7674418604651163,0,-0.15879004684679635,0.9209601873536299,0,0,1573,91.73553719008264
1150929273,1,101,17359,4.61512051684126,954,6.860663671448287,16994,87.41666666666667,1.9590413923210936,0,0.8910891089108911,0,NaN,0.9789734431706896,0,0,16994,95.66214546310462
1150929277,1,149,6062,5.003946305945459,1981,7.591357046698551,6062,88.15436241610739,2.1760912590556813,0,1,0,NaN,1,0,0,6062,88.36481359287365
1150929297,1,39,2002,3.6635616461296463,783,6.663132695990803,1907,76.70833333333333,1.462397997898956,0.9542425094393249,0.717948717948718,0.20512820512820512,1.7410640735845986,0.8511488511488512,0.10139860139860139,203,1704,81.70922915574201
1150929311,1,813,18532,6.70073110954781,6415,8.766394277049736,16370,87.95270270270271,2.8627275283179747,1.1139433523068367,0.8954489544895449,0.014760147601476014,0.9743535285978796,0.877725016188215,0.005611914526224908,104,16266,83.05962125839952
1150929313,1,290,12229,5.66988092298052,3747,8.228710798793687,11418,87.74814814814815,2.432969290874406,0,0.9310344827586207,0,-0.5222911263307584,0.9336822307629405,0,0,11418,88.05421264669819
1150929317,1,198,6145,5.288267030694535,4094,8.317277766221235,199,89.72413793103448,1.4771212547196624,0,0.14646464646464646,0,-0.11044826770282333,0.03238405207485761,0,0,199,92.12060301507537
1150929319,1,229,45800,5.43372200355424,1951,7.576097340623111,45800,87.60917030567686,2.361727836017593,0,1,0,NaN,1,0,0,45800,87.50136462882097
1150929321,1,26,324,3.258096538021482,1589,7.370860166536716,131,87.5,1.2041199826559248,0,0.5769230769230769,0,NaN,0.404320987654321,0,0,131,87.5
1150929331,1,299,11563,5.700443573390687,3601,8.188966863648876,10739,72.02076124567473,2.459392487759231,0.47712125471966244,0.959866220735786,0.006688963210702341,1.4268106393089055,0.9117875983741244,0.016950618351638847,196,10543,74.80920011174224
1150929337,1,24,2083,3.1780538303479458,1691,7.43307534889858,225,83.21428571428571,0.9030899869919435,0,0.2916666666666667,0,NaN,0.10801728276524244,0,0,225,83.81111111111112
1150929345,1,27,155,3.295836866004329,361,5.8888779583328805,135,90,1.3617278360175928,0,0.8148148148148148,0,NaN,0.8709677419354839,0,0,135,90
1150929355,1,209,7176,5.342334251964811,3552,8.17526610411206,6595,67.14432989690722,2.1522883443830563,1.7323937598229686,0.6746411483253588,0.2535885167464115,1.3445339798335079,0.649247491638796,0.2697881828316611,1936,4659,66.46535253980288
1150929359,1,339,303012,5.82600010738045,1136,7.035268599281097,4528,90.17241379310344,1.4771212547196624,0,0.0855457227138643,0,0.0640091894232164,0.014943302575475558,0,0,4528,89.93043286219081
1150929361,1,11,30,2.3978952727983707,364,5.8971538676367405,30,89.77272727272727,1.0791812460476249,0,1,0,NaN,1,0,0,30,89.91666666666667
1150929369,1,23,6269,3.1354942159291497,1229,7.113956109566034,646,90,0.8450980400142568,0,0.2608695652173913,0,NaN,0.10304673791673313,0,0,646,90
1150929371,1,11,781,2.3978952727983707,2789,7.933438387627489,675,82.77777777777777,1,0,0.8181818181818182,0,NaN,0.8642765685019206,0,0,675,83.58888888888889
1150929373,1,410,28742,6.016157159698354,1246,7.1276936993473985,27745,87.24545454545455,2.584331224367531,0.47712125471966244,0.9341463414634147,0.004878048780487805,-0.8382421937972385,0.9645118641708997,8.002226706561826e-4,23,27722,87.7704090827176
1150929375,1,590,5939,6.380122536899765,6471,8.775085935057266,5003,90.82919847328245,2.720159303405957,0,0.888135593220339,0,-0.13844616629337334,0.8423977100521973,0,0,5003,92.28362982210673
1150929377,1,1,7,0,62,4.127134385045092,7,100,0.3010299956639812,0,1,0,-0.447949454229901,1,0,0,7,100
1150929381,1,33,2624,3.4965075614664802,4888,8.494538500851432,2624,87.87878787878788,1.5314789170422551,0,1,0,NaN,1,0,0,2624,87.61909298780488
1150929389,1,40,300,3.6888794541139363,584,6.369900982828227,274,90.28571428571429,1.5563025007672873,0,0.875,0,NaN,0.9133333333333333,0,0,274,90.8029197080292
1150929395,1,3,33,1.0986122886681098,353,5.8664680569332965,0,NaN,0,0,0,0,NaN,0,0,0,0,NaN
1150929403,1,9,486,2.1972245773362196,1631,7.396948602621014,486,82.77777777777777,0.9542425094393249,0.3010299956639812,0.8888888888888888,0.1111111111111111,-0.40365427623151645,0.8353909465020576,0.1646090534979424,80,406,75.34979423868313
1150929411,1,60,7488,4.0943445622221,1176,7.069874128458572,5804,75.02173913043478,1.591064607026499,0.9542425094393249,0.6333333333333333,0.13333333333333333,0.6094090897898176,0.5765224358974359,0.1985844017094017,1487,4317,71.9501206064783
1150929413,1,268,60796,5.5909869805108565,1054,6.960347729101308,36660,88.23453608247422,2.285557309007774,0.47712125471966244,0.7164179104477612,0.007462686567164179,0.8701520413145795,0.5992992960063162,0.0037009013750904664,225,36435,88.03443807965084
1150929415,1,160,33384,5.075173815233827,2115,7.656810091480378,33147,79.09119496855345,2.0827853703164503,1.6020599913279623,0.75,0.24375,-1.3805539576634098,0.7878624490774023,0.20503834172058472,6845,26302,81.2566748122002
1150929417,1,110,4086,4.700480365792417,3704,8.21716859576607,3241,96.9186046511628,1.9395192526186185,0,0.7818181818181819,0,-0.44757706811288134,0.793196279980421,0,0,3241,96.86747917309472
1150929419,1,327,4390,5.7899601708972535,2425,7.793586803371584,3998,83.38166666666666,2.459392487759231,1.146128035678238,0.8776758409785933,0.039755351681957186,1.4156757511194902,0.8904328018223234,0.020273348519362185,89,3909,82.52251125562782
1150929425,1,2,179,0.6931471805599453,405,6.003887067106539,0,NaN,0,0,0,0,NaN,0,0,0,0,NaN
1150929431,1,76,804,4.330733340286331,1517,7.324489979348532,802,89.40140845070422,1.8573324964312685,0,0.9342105263157895,0,NaN,0.9975124378109452,0,0,802,89.77556109725685
1150929439,1,127,6758,4.844187086458591,1304,7.1731917424865985,5286,91.88888888888889,1.99563519459755,0.3010299956639812,0.7716535433070866,0.007874015748031496,-0.7270632709463327,0.767682746374667,0.014501331754957087,98,5188,91.08891411275066
1150929445,1,132,12762,4.882801922586371,1604,7.38025578842646,3477,71.95794392523365,2.03342375548695,0,0.8106060606060606,0,1.3911637455289623,0.27244945933239306,0,0,3477,79.4611734253667
1150929451,1,36,1269,3.58351893845611,637,6.456769655572163,441,80.89285714285714,1.1760912590556813,0,0.3888888888888889,0,NaN,0.3475177304964539,0,0,441,80.48185941043084
1150929463,1,200,8624,5.298317366548036,761,6.634633357861686,8232,70.90406976744185,2.0791812460476247,1.7323937598229686,0.595,0.265,1.8405322025265938,0.5586734693877551,0.39587198515769945,3414,4818,65.45262390670554
1150929469,1,399,15790,5.988961416889864,2627,7.87359778968554,1498,70.6,1.380211241711606,0.9030899869919435,0.05764411027568922,0.017543859649122806,0.9721671298762948,0.07840405319822673,0.016466117796073463,260,1238,77.21662216288385
1150929481,0,0,0,-Inf,25,3.2188758248682006,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1150929485,1,122,4791,4.804021044733257,3366,8.121480374750751,4361,82.23214285714286,1.968482948553935,1.3222192947339193,0.7540983606557377,0.16393442622950818,-0.6162374430960947,0.5172197871008141,0.39302859528282197,1883,2478,72.49621646411373
1150929487,1,3888,39237,8.265650165580329,25517,10.147100175689678,11716,92.2683408577878,3.2487087356009177,0,0.455761316872428,0,0.07726556305280016,0.29859571322985956,0,0,11716,92.51438204165244
1150929493,1,456,10893,6.1224928095143865,2412,7.788211557847076,2271,93.26388888888889,1.568201724066995,0,0.07894736842105263,0,-0.6361695646117117,0.20848251170476453,0,0,2271,94.43747247908411
1150929509,1,541,77575,6.293419278846481,1824,7.508787170634276,76754,96.21268656716418,2.7299742856995555,0,0.9907578558225508,0,-0.3899711768191993,0.9894166935223977,0,0,76754,96.79003700132893
1150929515,1,684,6659,6.52795791762255,7243,8.887790764195326,4096,91.53539823008849,2.7528164311882715,0,0.8260233918128655,0,-0.3666659933510782,0.6151073734795014,0,0,4096,93.583984375
1150929517,1,49,1652,3.8918202981106265,309,5.733341276897746,1328,92.02380952380952,1.6334684555795864,0,0.8571428571428571,0,-1.1522407783053317,0.8038740920096852,0,0,1328,91.26317771084338
1150929531,1,75,1576,4.31748811353631,942,6.848005274576363,1544,79.375,1.7481880270062005,1.255272505103306,0.7333333333333333,0.22666666666666666,0.485440444295007,0.6402284263959391,0.33946700507614214,535,1009,69.50777202072538
1150929535,0,0,0,-Inf,662,6.495265555937008,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1150929537,1,104,924,4.6443908991413725,1432,7.266827347520591,759,90.10526315789474,1.9822712330395684,0,0.9134615384615384,0,NaN,0.8214285714285714,0,0,759,90.04611330698287
1150929559,1,71,2535,4.2626798770413155,551,6.311734809152915,2231,61.20454545454545,1.2041199826559248,1.7160033436347992,0.2112676056338028,0.7183098591549296,-0.9807464434524727,0.20591715976331362,0.6741617357001972,1709,522,61.50515463917526
1150929575,1,207,2489,5.332718793265369,3919,8.273591798199632,1300,89.28879310344827,2.0681858617461617,0,0.5603864734299517,0,0.2170295863622241,0.5222981116914424,0,0,1300,88.64423076923077
1150929577,1,3,50,1.0986122886681098,192,5.2574953720277815,20,93.75,0.47712125471966244,0,0.6666666666666666,0,-0.273270297198875,0.4,0,0,20,100
1150929603,1,21,2354,3.044522437723423,1046,6.952728644624869,2341,86.125,1.3222192947339193,0,0.9523809523809523,0,-0.720045061591397,0.9944774851316908,0,0,2341,87.25758222981632
1150929619,1,247,9919,5.5093883366279774,2668,7.889084407035514,9266,80.9159090909091,2.247973266361807,1.6532125137753437,0.7125506072874493,0.17813765182186234,0.6729432590625753,0.7099505998588568,0.2242161508216554,2224,7042,79.08477228577595
1150929643,1,11,311,2.3978952727983707,382,5.945420608606575,311,85.68181818181819,1.0791812460476249,0,1,0,-0.720045061591397,1,0,0,311,82.70900321543408
1150929651,1,15,312,2.70805020110221,716,6.573680166960646,89,90,0.47712125471966244,0,0.13333333333333333,0,NaN,0.28525641025641024,0,0,89,90
1150929653,1,34,1065,3.5263605246161616,3277,8.094683648698815,1001,91.61290322580645,1.505149978319906,0,0.9117647058823529,0,-0.22493040566956052,0.939906103286385,0,0,1001,95.13736263736264
1150929657,0,0,0,-Inf,189,5.241747015059643,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
