caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_dv,Count_Reliable_NewsG_Score_dv,Count_Unreliable_NewsG_Score_dv,Prop_Reliable_NewsG_Score_dv,Prop_Unreliable_NewsG_Score_dv,partisanship_news_diet_dv,Prop_Reliable_NewsG_Score_dv_dur,Prop_Unreliable_NewsG_Score_dv_dur,Count_Unreliable_NewsG_Score_dv_dur,Count_Reliable_NewsG_Score_dv_dur,Average_domain_NewsG_Score_dv_dur
1150928599,1,71,2604,4.2626798770413155,2126,7.661997558901893,2424,91.95901639344262,1.792391689498254,0,0.8591549295774648,0,0.5530854928623072,0.9308755760368663,0,0,2424,92.05486798679868
1150928603,1,343,22348,5.8377304471659395,4002,8.294549515143679,21410,87.34965034965035,2.45178643552429,0.6989700043360189,0.8221574344023324,0.011661807580174927,-0.4283674039018385,0.9576248433864328,4.027206013960981e-4,9,21401,87.71127977580569
1150928609,1,1058,40486,6.964135612418245,11275,9.330343164370879,38265,92.97810218978103,2.9786369483844743,0.9542425094393249,0.8988657844990549,0.007561436672967864,0.2934901592441076,0.9370399644321494,0.008101565973422912,328,37937,93.23217039069645
1150928613,1,694,76459,6.542471960506805,5581,8.627123250788433,75991,94.87627365356623,2.837588438235511,0,0.9899135446685879,0,-0.7354408881877309,0.9938790724440549,0,0,75991,96.95516574331171
1150928621,1,200,8189,5.298317366548036,4445,8.399535147948004,6012,89.77272727272727,2.220108088040055,0,0.825,0,-0.04108439510884244,0.7341555745512273,0,0,6012,89.98502994011976
1150928635,1,177,40410,5.176149732573829,5574,8.625868208041894,38726,46.377300613496935,1.8195439355418688,1.99563519459755,0.3672316384180791,0.5536723163841808,1.6278573479104,0.3849789656025736,0.5733481811432813,23169,15557,47.492020864535455
1150928639,1,384,14166,5.950642552587727,1791,7.490529402060711,4649,87.46913580246914,2.2121876044039577,0,0.421875,0,-0.24383970614078043,0.32818014965410136,0,0,4649,87.4849429984943
1150928653,0,0,0,-Inf,301,5.707110264748875,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1150928655,1,417,15255,6.0330862217988015,27136,10.20861653859163,12292,88.51785714285714,2.558708570533166,0.6020599913279624,0.8657074340527577,0.007194244604316547,-0.4302171496756591,0.8042608980662078,0.0015077023926581448,23,12269,88.44219817767653
1150928659,1,7,3254,1.9459101490553132,1810,7.501082124259871,300,100,0.47712125471966244,0,0.2857142857142857,0,-0.607989640471067,0.09219422249539029,0,0,300,100
